ID,Gene_name
X7896736,
X7896738, OR4G2P 
X7896740, OR4F4 
X7896742, LOC728323 
X7896744, OR4F29 
X7896746, MT-TM 
X7896748, MT-TW 
X7896750, MT-TD 
X7896752, MT-TK 
X7896754, LOC100287497 
X7896756, FAM87B 
X7896759, LINC01128 
X7896761, SAMD11 
X7896779, KLHL17 
X7896798, PLEKHN1 
X7896817, ISG15 
X7896822, AGRN 
X7896859, MIR200B 
X7896861, MIR200A 
X7896863, MIR429 
X7896865, TTLL10 
X7896878, B3GALT6 
X7896882, SCNN1D 
X7896908, PUSL1 
X7896917, CPTP 
X7896921, TAS1R3 
X7896929, VWA1 
X7896937, ATAD3C 
X7896952, ATAD3A 
X7896961, ATAD3B 
X7896983, SSU72 
X7896985, MIB2 
X7897006, MMP23B 
X7897026, CALML6 
X7897034, GABRD 
X7897044, PRKCZ 
X7897066, C1orf86 
X7897068, SKI 
X7897076, MORN1 
X7897078, RER1 
X7897089, PLCH2 
X7897119, FAM213B 
X7897128, ACTRT2 
X7897132, PRDM16 
X7897154, ARHGEF16 
X7897172, TPRG1L 
X7897179, TP73 
X7897196, CCDC27 
X7897210, DFFB 
X7897227, AJAP1 
X7897236, KCNAB2 
X7897257, RNF207 
X7897263, RNF207 
X7897277, LINC00337 
X7897280, HES3 
X7897286, LOC100130071 
X7897288, ESPN 
X7897293, RNU6-731P 
X7897295, TAS1R1 
X7897305, ZBTB48 
X7897322, PHF13 
X7897329, THAP3 
X7897339, CAMTA1 
X7897368, RNU1-8P 
X7897370, VAMP3 
X7897378, PER3 
X7897404, PARK7 
X7897416, SLC45A1 
X7897422,
X7897424, HMGN2P17 
X7897426, CA6 
X7897439,
X7897441, H6PD 
X7897449, SPSB1 
X7897460, SLC25A33 
X7897469, TMEM201 
X7897482, PIK3CD 
X7897509, NMNAT1 
X7897520, RN7SKP269 
X7897522, RBP7 
X7897527, UBE4B 
X7897559, RNU6-828P 
X7897561, KIF1B 
X7897620, PGD 
X7897632, APITD1-CORT 
X7897648, PEX14 
X7897661, RN7SL614P 
X7897663, TARDBP 
X7897675, ANGPTL7 
X7897683, RNU6-291P 
X7897685, UBIAD1 
X7897691, PTCHD2 
X7897714, FBXO44 
X7897728, FBXO6 
X7897737, DRAXIN 
X7897745, AGTRAP 
X7897753, C1orf167 
X7897774, CLCN6 
X7897801, RNU5E-1 
X7897803, PLOD1 
X7897824, MFN2 
X7897849, MIIP 
X7897860, TNFRSF8 
X7897877, TNFRSF1B 
X7897890, VPS13D 
X7897953, SNORA59B 
X7897955, AADACL4 
X7897960, AADACL3 
X7897964,
X7897966, C1orf158 
X7897974, PRAMEF12 
X7897978, PRAMEF14 
X7897987, PRAMEF2 
X7897991, PRAMEF8 
X7897995, RNU6-1072P 
X7897997, LOC391003 
X7898002, PRAMEF25 
X7898007, PRAMEF4 
X7898012, PRAMEF4 
X7898020, PRAMEF10 
X7898026, PRAMEF16 
X7898030, PRAMEF20 
X7898034, PRAMEF10 
X7898040, PRAMEF4 
X7898048, PRAMEF16 
X7898052, PRAMEF20 
X7898057, PDPN 
X7898070, PRDM2 
X7898084, KAZN 
X7898102, KAZN 
X7898112, TMEM51-AS1 
X7898115, TMEM51 
X7898124, FHAD1 
X7898161, EFHD2 
X7898167, CTRC 
X7898176, CELA2A 
X7898184, CELA2B 
X7898192, DNAJC16 
X7898209, CHCHD2P6 
X7898211, RSC1A1 
X7898227, PLEKHM2 
X7898249, SLC25A34 
X7898256, TMEM82 
X7898263, FBLIM1 
X7898276,
X7898278, SPEN 
X7898294,
X7898296, C1orf64 
X7898300, CLCNKA 
X7898314, CLCNKB 
X7898328, SZRD1 
X7898337, NECAP2 
X7898350, LOC102724970 
X7898353, FAM231A 
X7898355,
X7898357, MST1 
X7898371, FAM231A 
X7898373,
X7898375, RNVU1-18 
X7898377, CROCC 
X7898405,
X7898407, LOC440570 
X7898411, RNVU1-18 
X7898413, PADI1 
X7898431, PADI3 
X7898448, PADI4 
X7898466, PADI6 
X7898483, ARHGEF10L 
X7898516, ACTL8 
X7898521, IGSF21 
X7898533, KLHDC7A 
X7898535,
X7898537, PAX7 
X7898549, MRTO4 
X7898556, PQLC2 
X7898568, LOC644083 
X7898570, RN7SL277P 
X7898572, RNU4-28P 
X7898574, MINOS1 
X7898582, RPS14P3 
X7898585, NBL1 
X7898594, HTR6 
X7898602, OTUD3 
X7898607, RN7SL304P 
X7898609, PLA2G5 
X7898616, PLA2G2F 
X7898623, UBXN10 
X7898627, VWA5B1 
X7898653, FAM43B 
X7898655, CDA 
X7898663, PINK1 
X7898673, PPP1R11P1 
X7898675,
X7898677, HS6ST1 
X7898679, NBPF3 
X7898693, ALPL 
X7898707, LDLRAD2 
X7898713, CELA3B 
X7898721, RN7SL386P 
X7898723, RNU6-776P 
X7898725, CELA3A 
X7898732, RN7SL186P 
X7898734, RNU6-776P 
X7898736, LINC00339 
X7898739, CDC42 
X7898750, ZBTB40 
X7898773, EPHA8 
X7898793, C1QA 
X7898799, C1QC 
X7898805, C1QB 
X7898809, EPHB2 
X7898833, KDM1A 
X7898854, RNU6-514P 
X7898856, RNU6-135P 
X7898858, C1orf213 
X7898869, MDS2 
X7898875, RPL11 
X7898881, TCEB3 
X7898894, PITHD1 
X7898902, LYPLA2 
X7898910, PNRC2 
X7898916, GRHL3 
X7898939, NIPAL3 
X7898957, RCAN3 
X7898967, NCMAP 
X7898975, SRRM1 
X7898988, CLIC4 
X7898998, RHD 
X7899005, TMEM50A 
X7899016, SDHD 
X7899018, TMEM57 
X7899023, LDLRAP1 
X7899029, MAN1C1 
X7899043, SEPN1 
X7899057, MTFR1L 
X7899069,
X7899071, RNU6-110P 
X7899073,
X7899075, EXTL1 
X7899087, PDIK1L 
X7899093, FAM110D 
X7899096, ZNF593 
X7899101, CNKSR1 
X7899124, CATSPER4 
X7899134, CEP85 
X7899151,
X7899153, SH3BGRL3 
X7899160, CD52 
X7899167, LIN28A 
X7899173, DHDDS 
X7899187, HMGN2 
X7899192, RPS6KA1 
X7899220, ARID1A 
X7899244, PIGV 
X7899251, RN7SL165P 
X7899253, ZDHHC18 
X7899265, SFN 
X7899273, NUDC 
X7899284, TRNP1 
X7899287,
X7899289, WDTC1 
X7899310, TMEM222 
X7899323, SYTL1 
X7899343, GPR3 
X7899346, TMA7 
X7899348, RNU6-424P 
