"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","s41","s42","s43","s44","s45","s46","s47","s48","s49","s50","s51","s52","s53","s54","s55","s56","s57","s58","s59","s60","s61","s62","s63","s64","s65","s66","s67","s68","s69","s70","s71","s72","s73","s74","s75","s76","s77","s78","s79","s80","s81","s82","s83","s84","s85","s86","s87","s88","s89","s90","s91","s92","s93","s94","s95","s96","s97","s98","s99","s100"
"gene1",-7.66963938651975,-19.1125193070238,-8.56998263013135,-9.18609222401195,-8.30898427668316,-13.0965108793397,-7.59478843222679,-18.3544201100314,-11.2045706065155,-12.5169486138983,-4.90254063368901,-8.19942919010916,-6.60468200906914,-11.923835428313,-9.53808853286218,-6.16458376994168,-14.9003037045744,-8.92589940612354,-9.32145542394297,-13.7130045725055,-9.39252963096885,-12.5748715851369,-6.06356147262386,-13.8515960568422,-12.015352582448,-7.9382259782863,-19.797572511931,-10.1789103219341,-8.80259122694899,-11.0378484858141,-12.1304846330554,-9.9990874525871,-17.6027311822803,-10.856335865119,-12.0735651603367,-5.710703946416,-6.21222682395223,-8.92948103981994,-8.70895340119797,-8.52094662978409,-7.65025894393549,-15.7805514492568,-6.81115456924398,-10.4271867860717,-14.0243018460501,-7.3529841331287,-11.4922234882326,-4.53484207627039,-10.7716542555681,-12.8329416480451,-9.88310430474686,-17.1292300040703,-8.83355301010407,-9.20124403180755,-8.19337875657645,-12.4673440619564,-10.7768193155107,-19.0382628160337,-9.24469675749361,-9.96898237653578,-6.65504564793938,-6.63985485376999,-10.9962130996232,-10.1329688143044,-10.8146549945103,-6.54428911115214,-16.9218121282376,-7.1006351085419,-11.912073243123,-15.1748373651201,-8.12048315556576,-11.4034919512897,-5.53015660299481,-11.0996778855335,-12.4801180297772,-9.37114611862062,-19.2633576850389,-9.59864150221118,-7.51768546698977,-8.42700526958637,-13.3160542037171,-10.8657037092701,-18.481934861778,-10.1574984442474,-8.10849901073667,-5.6825554039945,-6.1847859597573,-8.0698372507223,-8.17435846817733,-10.1727314594104,-7.7415298681317,-14.0686078937459,-7.46428377652334,-10.6985955864418,-15.4214249466562,-8.66195023304149,-10.9460617103683,-4.78761520787693,-11.5534654733361,-11.7632797022374
"gene2",0.579133232662443,0.560518046577457,-2.58884017386697,0.375623456605884,3.99219743408515,1.30518530675743,2.05795887738303,1.48420737417258,-3.60656663622269,-4.08356061453446,-6.99626050460357,-0.42377475966878,-1.82494131325629,-0.270213185369676,-0.322070255113876,-8.23736150389581,5.40202695824536,-5.15584599732207,0.750852223191796,-0.990748537324265,1.03547831649907,-0.584770477306763,-1.35714352312691,-6.17540155689937,2.25145867188609,1.49970592700984,0.918522853263454,-1.71294951977881,-3.08607413248764,1.05660270910635,0.393974822590599,-0.759502307431158,3.05404268669874,-5.44081495041087,-5.74907885489758,-6.46456754323396,-1.84099841566084,-3.05511502172257,0.702583963623539,2.05392610280104,-4.45264331103873,6.37260814464577,-5.77654959168023,-1.57824704472048,-1.86724621007915,1.407973212434,1.20914253397548,-0.384575734843344,-5.97251542903925,1.84431351901818,1.61273367059739,-0.00466244210510891,-3.03811950816509,-3.80447738626177,1.06612244590079,1.6780299336007,1.32276454120062,-1.80446179424725,-2.19368195031918,-0.78459376768279,-7.10346551100492,0.221626270463407,-4.53487664613242,0.572855047188885,1.49015005248991,-4.50227582559103,5.08608851014111,-9.62388627083438,-1.20631869060706,-2.26596716027385,1.165114206605,0.665994627183358,-4.43725780983539,-3.91833114305875,2.49849703077796,2.2008668312157,-0.342067214409187,-1.03328241490227,-2.92056111696921,1.41279724272959,1.52836316541008,-1.69206380991492,1.55032925278804,-5.4815161409946,-2.15192164149734,-6.89856446175806,-4.76843435560841,-3.14274766154919,0.264228781420353,1.60481904592449,-6.54315011849272,3.65276791788354,-7.31636328416422,0.968289711131677,1.1528706980182,1.54446791001114,1.5752016209517,-2.8573666878906,-6.67607853895182,3.84575718450116
"gene3",1.74765414137277,0.497950195108329,-1.39755046273775,3.71104565463015,2.91974555864312,0.0934921770682534,0.0394773914544599,2.39523404019642,1.86834878380979,-6.19569560241222,2.81227404207266,-4.07195824398129,-1.77717679697897,-1.57483903912839,-1.68048586365801,2.95728432253478,0.212482417014348,5.66299399924731,-6.6968107923259,1.09379411017802,4.66419039490882,-5.22933341395759,1.34593135439806,5.08156538234316,1.01635381888824,0.731399908284707,0.449933165832415,-1.50708351144641,1.04981363367154,3.37555178293337,-0.298642025764682,-0.413268521792249,1.29313931632091,0.754075403537814,-5.38428462681314,1.9238829650964,-7.13027082164597,-2.19692894875556,0.390228220097918,-1.86581146115576,3.11678555506956,-0.331142769143444,6.0781651644835,-5.56692020111147,-1.53674388108247,4.48097329768013,-5.12549203979514,4.29147757644733,5.50864089665657,3.0177745987887,2.17834565258293,1.28669616395981,-2.55994020236593,3.01792250779099,1.87555294100257,0.471264643809841,-2.52397082177012,1.5227251898711,2.44725157513458,-3.20532019767926,0.313800997539367,-5.66377271852395,-4.27272728656257,-0.815572864910118,-1.13286056075238,4.73814882024626,-2.53595477673478,4.90851971406166,-7.7300466544548,-0.296870368736791,5.15550378533902,-6.9012193241674,0.115762391287907,6.99904574277122,0.600651298904969,2.10446477301257,1.20545499277834,-1.00020149092231,4.04239802188768,1.01511353513576,1.30515236686341,-3.51535147719251,1.37935212486646,1.65300516139858,-2.70827390971895,1.03933252287671,-4.55866126309264,-3.355694773637,-1.63712252976056,-1.98250152406669,2.57621967024405,-0.635987679290488,5.59204945571639,-7.83120163011757,2.02050275424108,3.84947121672367,-2.91431309922413,2.41042909904225,4.38367629852304,-0.0102473882045624
"gene4",-2.81321719540829,-6.48248207186129,-7.58599074900399,0.145440314175598,-5.54817955063578,-4.67950722466021,-3.89479870595324,-3.87858439867044,-4.50578537275594,-3.39340137257455,-12.8687028764207,-6.77638611664447,-1.90680025225632,-4.84716333504423,-1.06134419693167,-5.12581286897952,-1.36888783406584,-3.77817495610833,-5.7841459169631,0.152262093114573,-6.34904453947697,-6.68567029983113,-3.10890631750823,-2.95797268318491,-4.47991117776365,-4.18263042545638,-4.8966737152138,-6.46670936372139,-1.04387440851996,-7.95494298305765,-4.55509488978047,-5.75347255450877,-3.24664024937685,-4.84483013817232,-4.45583947403109,-11.1240242343349,-9.65968217225161,-3.19248631105042,-2.4769373654262,-0.235975512025058,-3.89769354444452,-2.17630868954589,-6.6988539882937,-5.72692621605104,0.006883744080271,-6.22134343418686,-5.20485625482866,-0.484503092087601,-5.06725201812222,-2.91125292014774,-2.77163324074344,-5.55076768959059,-8.18863229735898,-1.10270427592531,-7.71977922707667,-4.98638771497325,-7.52525220685707,-5.40998251359558,-2.28512765567193,-2.56897057809381,-12.0579372656245,-7.71584534318102,-5.15299167471735,-3.3454265740507,0.113622140550767,-3.8212181881963,-1.71405649286865,-9.27384405083523,-5.08451209133958,-0.0155366431603203,-5.29869480694669,-8.39111889462946,-2.17652438619752,-4.61205594141938,-3.64620525015958,-3.71598601595132,-6.9855380601227,-6.19996625274677,-2.32179275979414,-5.38368264908419,-3.02093793777733,-4.8220525136789,-6.23228712790757,-5.99950898336729,-3.16023880608216,-12.5105224290581,-10.515664737614,-5.13305521181946,-4.61836436666338,2.37586670904497,-3.34317819857748,1.38566206812634,-8.07400207006435,-2.76277331521476,-2.2507668829477,-5.75882176888327,-7.19920047511455,-0.855104947909321,-3.53722835890303,-0.601660549838294
"gene5",8.53451721128947,9.46908315550717,2.78033736670611,10.8075995976377,12.2345534107222,4.88828206901415,2.96929285936048,11.8172847882498,1.00256419584878,-3.55421681230977,5.66618155955882,5.05030971004458,7.19550759820827,6.55958196059829,-0.535884597931152,-3.0986255275524,2.46495606152871,11.3827967733431,5.5151210465267,3.82197367231017,4.4289652802182,4.12812191970273,7.04945753516976,7.84160690324002,0.888362187116575,5.80332225758352,8.29203384637476,3.45011727649826,5.40719740142478,8.48561623122169,5.01756359121723,2.72948760662464,11.3487219428154,-1.45526953125328,-1.38366397270211,7.06912556883852,1.46365723813759,5.46341411010818,9.66365555482668,2.33247522088516,-2.66028085526108,1.30965421611121,10.993636091769,1.65729929159422,-0.101244517213276,3.80166886662863,7.15969244927035,7.38110393597984,6.74510671362303,2.47322839896686,5.24215528891399,7.37088221911162,-0.791320170546876,6.07966119583207,8.47080608543077,3.02764707472023,4.26082349987332,9.11353460721351,3.38195844519617,2.57399595910882,3.56188724074247,2.7305050536925,3.41712231679716,11.0405266780873,2.54893384985456,2.65980055121486,3.43668598613103,7.34838934032713,1.36124080880459,1.67934110375594,3.79189164816171,1.82988488313059,4.60769573518932,8.5398825325132,1.84489653096681,4.98820125425721,9.7024700282377,0.812450345543499,6.0460512598339,5.60904662196837,7.65579234167093,1.7607811427104,9.09259027448293,-0.0957863807336977,1.36211256401301,3.28813806912347,2.21191793324232,4.4816336874597,11.0925884342025,2.47326041825015,-3.40612782594178,2.87570976082191,10.0239599768662,5.29566480926082,4.09658161139447,4.09388561939078,3.60561730063572,10.3587811771573,6.99782407173729,6.56938252132046
"gene6",-2.82867697979016,1.98498512049631,-4.18761914115385,-3.63791910507578,-6.35299311305633,1.93057323848633,-3.30204377421093,-7.04233763246813,-0.841823173873984,-8.66565971735143,-6.74285300439527,-2.05482383825959,-7.39737781855807,-2.93688401818909,-0.874013842218311,-0.540727826819754,-4.55768403251342,-2.47136272553921,1.77177773973225,-4.37984583192122,-7.37987811230518,1.7068840097477,-7.12895070570064,1.39108841421516,-0.602838750818412,-4.23458021211361,5.20855242757709,-6.31463200661727,-3.57372810429703,-9.01050291209828,-0.398148176460167,-6.19489779649013,-6.43476849252445,-1.65173481516894,-12.9988911868522,-8.78017053125076,-2.52918063052974,-6.77444978631034,-6.32030617242845,-5.90901759457579,2.64312279153736,0.128326998164833,-4.4657886484662,-0.691316035583744,-3.64125440557778,-2.92392698857776,3.94809939973479,-5.38700942301943,-2.05028038388004,2.3385303942316,-5.17516927857028,6.54308223877741,-7.38837245361227,0.497127717971314,-11.4860346326556,2.62127707700822,-2.19330797511321,-5.64724431888009,-4.28233008347307,-11.8996281436138,-4.90980701936849,-1.74179027718058,-3.75997867909503,-3.46245389056237,-5.19108380681338,0.1929216717809,-1.42141124446815,-4.27017555273175,4.92217178149236,-2.36618866071371,-6.56695156126594,5.42908788498096,-7.86922690941579,-0.895173452551108,-1.74400089293111,-2.22710963119107,3.64926072935746,-7.00066166228481,1.27512579797616,-3.9232402820827,-0.697925768559987,0.699471509355061,-7.44964145582706,-1.31969030736021,-12.734325684009,-3.78374773130311,-2.32558855436762,-5.97485968913427,-6.48100629900897,-5.50450387459575,1.2397157477996,-6.36484105949352,-3.03567906753001,0.502785634904805,-4.86014119304139,-6.30833732067553,0.187907173722867,-8.42084878108636,0.533389643372437,-1.99979031071874
"gene7",-2.29238374773883,-3.9059861893084,-6.8262313105644,0.405555092260042,2.35779718601993,0.228988185258751,-6.52725355681426,0.461144757147545,-0.994165370157165,-5.82912209622305,-9.20485812375498,-7.28378294375909,-8.4344041408025,-6.69077915642281,-5.60119028252669,-8.80716318792572,-6.9381126111261,-2.19341517707701,-8.90901383270682,-3.22862315805509,-4.39456977602709,-5.61681446071309,-2.77304802052852,-4.27960770037411,-4.31120150091691,-4.88365981311268,-4.99031845848942,-4.47430073997903,-0.210106414066812,-0.931554953691761,0.641071486904441,-9.91826548520933,-0.505257539467678,-2.32333123894095,-6.67485463247225,-10.2976884677286,-10.604148432224,-9.24797473214558,-5.23855099973087,-3.07698273276459,-6.67138571349783,-4.88839564229079,-0.566252865111913,-11.7436855822407,0.422989274615503,-2.68542801653007,-2.62170867621836,0.686027648071435,-5.02945235804702,-7.05098614908645,-0.903868233052186,-1.18498364814896,-4.46866986610012,-0.402557059438443,-0.677431207277617,3.16986662364382,-7.01406152974943,-1.87026474462115,-2.80275518773635,-4.19029978913791,-7.44571006036192,-8.90182764380633,-8.97275494106302,-6.27347919079329,-6.25791851396958,-6.75322515676638,-4.64245185727198,-4.42237182198563,-9.77508075317112,0.241392406549368,-5.97401275514658,-6.39084241668451,-2.47207104582959,-7.38293180259124,-4.43463199760403,-3.09713327466601,-4.09722386738106,-4.72435530671596,-2.77640217345555,2.57884399681988,2.6211776638412,-7.20084788506987,-1.63628496581372,-1.65799361168557,-4.32356026789323,-7.51375957848783,-11.5430991768215,-10.2694888199944,-5.01662758709939,-3.44416156618347,-6.24064983112021,-8.18352062138657,-2.19695526341517,-6.83962355949685,-0.14688070517825,-3.62228987655544,-6.23793780612202,1.19698597753476,-3.95466917580988,-4.99196848367607
"gene8",-1.68628276774168,5.31657865207525,-1.90427239844388,-4.5384013449167,1.10788209969433,5.11849239541863,3.7650947491763,-3.85448840256273,2.92902004062472,1.21244394460793,1.3957141514151,-0.750159829502178,3.00348934005648,5.45522152170429,2.0300818387996,3.50315034544873,5.74733336026666,4.3799085663892,-5.88366614352041,2.31734694752295,-2.6490096358806,3.23936174989546,-2.95134339891653,-6.38674475442936,5.19030371034415,-1.24658738505737,5.58840222808916,-0.675542605094056,-0.665076161372313,3.65265802294126,3.62011623254589,5.80798645749303,-5.41622347129221,-1.53531582301226,1.85701630694291,2.19782535850245,-0.637044430688651,0.315605392526902,2.73634254399338,-1.67737236732016,6.10597624952501,7.29347942493414,4.38483207405453,-6.33538914732969,2.39892117084595,-0.156159563424597,0.64270466609392,-4.54356234201264,-9.38379533567067,4.22141697006189,-0.585789918180785,5.43994316189285,-1.20766794445157,-0.359999756907676,2.44540158727172,4.99571633507267,6.07720643726732,-4.36889176655797,0.27347510304529,-1.08572638640491,2.51881860269268,-1.66811563212596,3.54321259716766,0.565174603256442,0.156889063082934,3.61704344136883,5.91466824638285,3.81950537332597,-2.95114004512873,3.71720599976349,-0.945360434087226,7.08842846629017,-3.75257412125763,-9.95932776765247,3.85189007730366,1.40985390628695,5.57390851353519,-1.17342608684136,-1.5468676079219,4.46744251067982,2.47937989943607,9.28504340920318,-3.26974493419143,1.37943369668034,0.454440930413778,0.953962738122532,-0.419026988862155,0.78781716658106,1.35350259837015,1.05024310974233,4.60236495070021,2.27717989259011,3.32504581974528,-4.55269119548348,1.46350571431208,-2.84768699501878,2.70352307857257,-2.62253915934489,-5.98098863161153,-0.238072387267864
"gene9",0.682970042374144,-3.96552281643269,5.16393519766802,-4.27118659045884,0.539906696908662,-5.35479258629551,-2.20843787149839,-0.437888256798676,1.63300738758106,-7.16012896863009,-3.94324386988024,4.3336263593827,3.04792867838302,-1.80709667076319,-3.01996540525606,-8.04938309349486,-6.06473460317889,-0.127300249771015,3.22535241836049,-5.75969812810785,-9.94378419436444,-5.72915931489741,2.40507049384267,-1.23452639244713,-4.1031925972369,0.106382112939417,-2.43379069554078,2.62604338659135,-6.75561833528633,-8.32164664527222,-3.60653724480293,-6.25284991273751,-1.20321180651958,-0.603601626236505,-8.07094202437321,-3.75174222741013,-2.58705799343516,0.899124925138466,0.791721405980637,4.03597738440049,-7.00598575104074,-3.58544220694724,1.06061397076717,-3.41768286633207,-4.0774082875665,-8.9586758482344,0.218316944051375,5.20180239483012,-3.91952895006624,-2.10806786042822,-0.113758685453741,-3.38316661865724,4.63020449047832,-4.79019272984285,-10.4885274620439,-4.34319914067018,-5.54871985624496,-5.29338374699379,5.68691768481651,-4.10271778730523,-1.35885982599481,3.84344457239031,-3.30847905238659,-1.06881006444948,3.71316337973867,-3.81277364433247,-6.93943031781335,-3.10885356182488,-2.5153615873492,0.446002737012621,-8.60388133613244,-4.71402866732632,0.916176486765454,-3.22870419767762,-2.07723220145631,2.40131534395765,-2.98710899855056,3.31549029389613,-7.35538759187853,-4.82330805392805,0.958061328124698,-7.00013887658808,-6.11595662104023,0.73013387230781,-2.74702558293815,0.139251854973034,-2.01700440283065,-4.7918619724541,-1.11242231650871,5.52049458220976,-8.85081569702184,-7.98344818689421,-2.121624663557,2.42901221269715,-3.85826809696537,-11.2733844525054,-3.91529487465059,6.20986953883705,-3.28809366551417,1.17931814541162
"gene10",-2.27728720584305,1.15526572038015,0.797725070892045,0.841377481311174,-6.60172311058181,-3.64180486899226,-2.72697931452455,-4.36094836994399,-4.37580834570403,-9.80562023839185,-3.23641896703156,-6.15962705584112,-0.882732529203486,-5.00629107298612,-3.01267047447111,-2.69285378207416,1.47472638865944,-0.597064169325935,-1.04968437260121,0.118388381131342,-1.4502981207153,0.658189799377963,-1.38588934924362,-1.33610965555768,0.912481856357111,-4.53762739857394,-0.110301916144594,0.915236592738898,-1.44625621967807,-6.84153826066852,-3.77168402691116,-1.50131392456901,-2.47371855375919,-2.80595064290139,-9.94484722719519,-3.95705127075709,-2.44931763700655,0.537275912809134,-6.30420472503766,-2.71667705841346,-5.79180546039646,-1.82239834671617,-0.73191253339329,1.60967699313212,-2.13474445925152,-4.62195977765938,1.06984232063055,-3.13442610177338,0.0672976401370907,2.65327813205157,-4.47838982459342,-0.449876145373336,-0.0968501041962507,-1.07897225384427,-5.87686321204145,-3.88870414386313,-1.89412977147705,-2.00138588552637,-3.2554715393086,-10.7695637925365,-7.71235124005593,-6.51394173150732,-1.64823648926453,-6.56086596844217,-1.59989188104747,-6.04134033211315,-2.20993275900284,1.96420588812797,-1.35083764015175,-1.63307726242176,-2.63125901451052,0.106419824870281,0.711138789066176,0.915639412505282,1.93617255287351,-3.44926374438509,0.712081603858683,-0.858730586285028,-1.87125990395321,-6.23359259410798,-4.01560913279415,-3.44569339044029,-1.64446263411172,-5.65046563857597,-10.3467692172279,-7.66752589751959,-1.94843196761919,0.510834324813097,-5.11821235056357,-1.35861652885191,-6.5446549376737,2.27817622681784,3.18603008905483,-1.96439007820208,1.37948272000752,-0.790601337389591,2.39278436492395,-2.72309816027154,-3.47676497709091,2.85615254233086
